"Colonne","Type","Description / Signification","Modalités principales / plage de valeurs","Remarques / Alertes"
"Person_ID","int64","Identifiant unique de la personne","-","Ne pas utiliser comme feature, identifiant pur"
"AssessmentID","int64","Identifiant de l'évaluation COMPAS","-","À ignorer pour ML, identifiant"
"Case_ID","int64","Identifiant du dossier judiciaire","-","Idem, identifiant administratif"
"Agency_Text","object","Agence ayant procédé à l'évaluation","PRETRIAL, Probation...","Peut regrouper modalités rares"
"LastName","object","Nom de famille","Valeurs uniques","Pas pour ML, nominatif, anonymiser si besoin"
"FirstName","object","Prénom","Valeurs uniques","Idem"
"MiddleName","object","Second prénom","Valeurs souvent manquantes","À ignorer, trop de manquants"
"Sex_Code_Text","object","Sexe","Male, Female","–"
"Ethnic_Code_Text","object","Origine ethnique","African-American, Caucasian, Hispanic...","Modalités proches à regrouper"
"DateOfBirth","datetime","Date de naissance","1933–2018","Vérifier outliers et dates aberrantes"
"ScaleSet_ID","int64","Identifiant du set d’échelles","2 valeurs","Variable quasi-constante"
"ScaleSet","object","Nom du set d’échelles","""Risk and Prescreen"", ""All Scales""","Idem"
"AssessmentReason","object","Motif de l’évaluation","""Intake""","Une seule modalité, à ignorer"
"Language","object","Langue de l'évalué","English, Spanish","Langue à fort déséquilibre"
"LegalStatus","object","Statut légal lors du screening","Pretrial, Post Sentence, Other...","Peut fusionner modalités rares"
"CustodyStatus","object","Statut de détention","Jail Inmate, Probation, ...","–"
"MaritalStatus","object","Statut marital","Single, Married, ...","–"
"Screening_Date","datetime","Date d’évaluation","2013–2014","Valeurs manquantes fréquentes"
"RecSupervisionLevel","int64","Niveau de supervision recommandé","1 à 4","–"
"RecSupervisionLevelText","object","Libellé du niveau de supervision","Low, Medium, High...","–"
"Scale_ID","int64","Identifiant échelle","3 valeurs","Presque constante"
"DisplayText","object","Libellé affiché","3 valeurs","Peu utile pour features"
"RawScore","float64","Score brut calculé par COMPAS","-4.8 à 51","Peut être négatif, OK"
"DecileScore","float64","Score de risque (1–10, NaN = non scoré)","1 à 10, NaN","Remplacer tout -1 par NaN"
"ScoreText","object","Catégorie score (""Low"", ""Medium"", ""High"")","Low, Medium, High","Peu de NaN, à exclure/traiter"
"AssessmentType","object","Type d’évaluation","New (92%), Copy","–"
"IsCompleted","int64","Flag complété","1","Colonne constante, à ignorer"
"IsDeleted","int64","Flag supprimé","0","Colonne constante, à ignorer"
"Age_at_Screening","float64","Âge calculé lors de l'évaluation","17 à 79 (calculé)","Certains manquants si dates manquantes"
"Age_at_Screening_missing","int64","Indicatrice NaN pour Age_at_Screening","0, 1","–"
